x,y,z,azimuth
2772,1572,-4227,295.58
2782,1537,-4280,289.20
2755,1572,-4275,297.09
2735,1532,-4280,292.55
2740,1537,-4307,292.90
2750,1582,-4255,299.11
2755,1592,-4255,300.22
2802,1567,-4297,292.16
2767,1572,-4292,296.02
2755,1537,-4250,291.57
2755,1537,-4285,291.57
2787,1562,-4280,292.69
2740,1527,-4222,291.31
2755,1587,-4237,299.44
2725,1672,-4245,315.32
2680,1707,-4285,324.95
2645,1855,-4250,350.43
2607,1890,-4245,359.41
2537,1982,-4245,379.98
2455,2190,-4275,417.35
2362,2260,-4280,437.36
2257,2412,-4307,469.01
2117,2565,-4307,504.66
2012,2715,-4332,534.59
1792,2807,-4332,574.46
1680,2967,-4322,604.80
1458,3075,-4345,646.32
1260,3185,-4360,684.16
1100,3252,-4312,713.12
878,3322,-4370,751.95
683,3392,-4365,786.15
473,3500,-4360,823.04
335,3525,-4350,845.71
90,3570,-4365,885.56
-37,3612,-4307,905.87
-122,3585,-4332,919.49
-347,3570,-4387,955.52
-450,3585,-4407,971.55
-627,3580,-4407,999.34
-797,3585,-4375,1025.34
-867,3555,-4417,1037.06
-885,3515,-4407,1041.32
-930,3560,-4402,1046.41
-1117,3505,-4380,1076.76
-1362,3460,-4445,1114.87
-1527,3392,-4422,1142.36
-1627,3262,-4427,1165.09
-1772,3272,-4450,1184.38
-2102,3192,-4475,1233.66
-2282,3050,-4470,1268.04
-2475,2912,-4522,1303.62
-2710,2772,-4487,1343.52
-2935,2542,-4560,1391.04
-3067,2330,-4630,1427.76
-3230,2160,-4592,1462.28
-3410,1932,-4645,1504.65
-3475,1815,-4607,1524.22
-3602,1602,-4592,1560.23
-3680,1348,-4655,1598.82
-3797,1048,-4670,1645.70
-3867,888,-4750,1670.67
-3877,608,-4750,1710.87
-3925,375,-4725,1745.42
-3905,138,-4717,1779.76
-3920,48,-4750,1792.98
-3900,-120,-4760,1817.62
-3892,-420,-4782,1861.59
-3852,-752,-4825,1910.47
-3725,-1172,-4887,1974.65
-3562,-1452,-4860,2021.78
-3445,-1710,-4892,2063.98
-3265,-1967,-4912,2110.67
-3092,-2145,-4967,2147.50
-2857,-2367,-4945,2196.41
-2547,-2620,-4955,2258.09
-2332,-2787,-4955,2300.79
-2022,-2842,-4967,2345.69
-1725,-3045,-4992,2404.68
-1322,-3075,-5007,2467.36
-970,-3197,-5020,2531.22
-632,-3232,-4955,2589.36
-240,-3212,-4972,2657.27
-62,-3207,-4967,2688.92
188,-3157,-4892,2734.08
438,-3090,-4882,2780.68
785,-2980,-4860,2847.58
1143,-2827,-4807,2920.14
1325,-2727,-4797,2959.14
1388,-2675,-4765,2974.24
1532,-2565,-4725,3008.49
1740,-2412,-4740,3058.06
1872,-2235,-4635,3099.49
2112,-2105,-4617,3150.95
2272,-1912,-4597,3199.18
2440,-1710,-4550,3249.76
2577,-1435,-4522,3308.89
2685,-1207,-4517,3357.94
2695,-1142,-4535,3370.35
2730,-1097,-4560,3381.08
2787,-950,-4550,3411.77
2910,-712,-4502,3462.51
2945,-485,-4480,3506.48
2980,-187,-4480,3564.09
3032,138,-4427,26.06
3037,375,-4422,70.39
3057,523,-4417,97.08
2995,770,-4387,144.18
2950,988,-4332,185.16
2930,1115,-4350,208.34
2877,1275,-4392,239.01
2900,1338,-4370,247.68
2852,1333,-4365,250.51
2827,1348,-4322,254.93
2847,1348,-4340,253.37
2847,1373,-4340,257.46
2817,1368,-4370,259.02
2837,1353,-4365,254.97
2827,1348,-4312,254.93
2857,1363,-4317,255.05
2852,1358,-4355,254.62
2867,1348,-4387,251.82
2852,1338,-4370,251.33
2842,1383,-4370,259.49
2837,1383,-4375,259.89
2837,1378,-4375,259.07
2900,1348,-4327,249.30
2812,1398,-4365,264.34
2842,1358,-4397,255.40
2832,1403,-4380,263.54
2852,1378,-4350,257.88
2837,1348,-4397,254.15
2832,1373,-4407,258.65